t,x,z,vx,vz
0.0,0.0,0.5,1.4446020213193669,3.8522720568516444
0.005,0.007223010106596835,0.5192149852842581,1.4446020213193669,3.8337220568516446
0.01,0.01444602021319367,0.5383372205685165,1.4446020213193669,3.8151720568516443
0.015,0.021669030319790502,0.5573667058527746,1.4446020213193669,3.7966220568516444
0.02,0.02889204042638734,0.5763034411370329,1.4446020213193669,3.7780720568516446
0.025,0.03611505053298417,0.5951474264212911,1.4446020213193669,3.7595220568516443
0.03,0.043338060639581004,0.6138986617055493,1.4446020213193669,3.7409720568516445
0.035,0.05056107074617785,0.6325571469898076,1.4446020213193669,3.722422056851644
0.04,0.05778408085277468,0.6511228822740658,1.4446020213193669,3.7038720568516443
0.045,0.0650070909593715,0.669595867558324,1.4446020213193669,3.6853220568516445
0.05,0.07223010106596835,0.6879761028425823,1.4446020213193669,3.666772056851644
0.055,0.07945311117256518,0.7062635881268404,1.4446020213193669,3.6482220568516444
0.06,0.08667612127916201,0.7244583234110987,1.4446020213193669,3.6296720568516445
0.065,0.09389913138575885,0.7425603086953569,1.4446020213193669,3.6111220568516442
0.07,0.1011221414923557,0.7605695439796152,1.4446020213193669,3.5925720568516444
0.075,0.10834515159895251,0.7784860292638733,1.4446020213193669,3.5740220568516445
0.08,0.11556816170554936,0.7963097645481315,1.4446020213193669,3.5554720568516442
0.085,0.12279117181214619,0.8140407498323898,1.4446020213193669,3.5369220568516444
0.09,0.130014181918743,0.831678985116648,1.4446020213193669,3.5183720568516446
0.095,0.13723719202533985,0.8492244704009063,1.4446020213193669,3.4998220568516443
0.1,0.1444602021319367,0.8666772056851645,1.4446020213193669,3.4812720568516444
0.105,0.1516832122385335,0.8840371909694226,1.4446020213193669,3.4627220568516446
0.11,0.15890622234513035,0.9013044262536809,1.4446020213193669,3.4441720568516443
0.115,0.1661292324517272,0.9184789115379391,1.4446020213193669,3.4256220568516444
0.12,0.17335224255832402,0.9355606468221974,1.4446020213193669,3.4070720568516446
0.125,0.18057525266492086,0.9525496321064556,1.4446020213193669,3.3885220568516443
0.13,0.1877982627715177,0.9694458673907139,1.4446020213193669,3.3699720568516445
0.135,0.19502127287811455,0.9862493526749722,1.4446020213193669,3.3514220568516446
0.14,0.2022442829847114,1.0029600879592302,1.4446020213193669,3.3328720568516443
0.145,0.20946729309130818,1.0195780732434885,1.4446020213193669,3.3143220568516445
0.15,0.21669030319790503,1.0361033085277467,1.4446020213193669,3.2957720568516446
0.155,0.22391331330450187,1.0525357938120048,1.4446020213193669,3.2772220568516444
0.16,0.23113632341109872,1.068875529096263,1.4446020213193669,3.2586720568516445
0.165,0.23835933351769556,1.0851225143805212,1.4446020213193669,3.2401220568516447
0.17,0.24558234362429238,1.1012767496647795,1.4446020213193669,3.2215720568516444
0.17500000000000002,0.25280535373088925,1.117338234949038,1.4446020213193669,3.203022056851644
0.18,0.260028363837486,1.1333069702332959,1.4446020213193669,3.1844720568516447
0.185,0.2672513739440829,1.1491829555175543,1.4446020213193669,3.1659220568516444
0.19,0.2744743840506797,1.1649661908018125,1.4446020213193669,3.1473720568516446
0.195,0.28169739415727657,1.1806566760860706,1.4446020213193669,3.1288220568516443
0.2,0.2889204042638734,1.1962544113703288,1.4446020213193669,3.1102720568516444
0.20500000000000002,0.29614341437047026,1.211759396654587,1.4446020213193669,3.091722056851644
0.21,0.303366424477067,1.2271716319388453,1.4446020213193669,3.0731720568516443
0.215,0.3105894345836639,1.2424911172231035,1.4446020213193669,3.0546220568516445
0.22,0.3178124446902607,1.2577178525073618,1.4446020213193669,3.036072056851644
0.225,0.3250354547968576,1.27285183779162,1.4446020213193669,3.0175220568516443
0.23,0.3322584649034544,1.2878930730758784,1.4446020213193669,2.9989720568516445
0.23500000000000001,0.3394814750100512,1.3028415583601365,1.4446020213193669,2.980422056851644
0.24,0.34670448511664803,1.3176972936443947,1.4446020213193669,2.9618720568516443
0.245,0.3539274952232449,1.332460278928653,1.4446020213193669,2.9433220568516445
0.25,0.3611505053298417,1.347130514212911,1.4446020213193669,2.924772056851644
0.255,0.36837351543643854,1.3617079994971693,1.4446020213193669,2.9062220568516444
0.26,0.3755965255430354,1.3761927347814278,1.4446020213193669,2.8876720568516445
0.265,0.3828195356496322,1.3905847200656858,1.4446020213193669,2.8691220568516442
0.27,0.3900425457562291,1.404883955349944,1.4446020213193669,2.8505720568516444
0.275,0.3972655558628259,1.4190904406342022,1.4446020213193669,2.8320220568516445
0.28,0.4044885659694228,1.4332041759184606,1.4446020213193669,2.8134720568516443
0.28500000000000003,0.4117115760760196,1.4472251612027187,1.4446020213193669,2.7949220568516444
0.29,0.41893458618261636,1.4611533964869767,1.4446020213193669,2.7763720568516446
0.295,0.4261575962892132,1.474988881771235,1.4446020213193669,2.7578220568516443
0.3,0.43338060639581005,1.4887316170554934,1.4446020213193669,2.7392720568516444
